easting,northing,yaw,state_x,state_y,state_yaw
310217.734822,2768165.72355,-0.0409543535631,310217.739887,2768165.72236,-0.0409543550315
310217.734822,2768165.72355,-0.0409543535631,310217.739124,2768165.72255,-0.0409543545329
310217.734822,2768165.72355,-0.0409543535631,310217.739132,2768165.72267,-0.0409543541729
310217.734822,2768165.72355,-0.0409543535631,310217.73849,2768165.7228,-0.0409543539519
310217.734822,2768165.72355,-0.0409543535631,310217.737941,2768165.72292,-0.0409543538138
310217.734822,2768165.72355,-0.0409543535631,310217.738109,2768165.72299,-0.0409543537066
310217.734822,2768165.72355,-0.0409543535631,310217.737618,2768165.72307,-0.0409543536472
310217.734822,2768165.72355,-0.0409543535631,310217.737293,2768165.72314,-0.0409543536114
310217.734822,2768165.72355,-0.0409543535631,310217.736924,2768165.7232,-0.0409543535914
310217.734822,2768165.72355,-0.0409543535631,310217.73661,2768165.72326,-0.04095435358
310217.734822,2768165.72355,-0.0409543535631,310217.736346,2768165.7233,-0.0409543535733
310217.734822,2768165.72355,-0.0409543535631,310217.736764,2768165.72331,-0.040954353562
310217.734822,2768165.72355,-0.0409543535631,310217.736482,2768165.72335,-0.0409543535584
310217.734822,2768165.72355,-0.0409543535631,310217.736239,2768165.72338,-0.0409543535579
310217.734822,2768165.72355,-0.0409543535631,310217.73668,2768165.72338,-0.0409543535542
310217.734822,2768165.72355,-0.0409543535631,310217.736413,2768165.7234,-0.0409543535543
310217.734822,2768165.72355,-0.0409543535631,310217.736182,2768165.72342,-0.0409543535558
310217.734822,2768165.72355,-0.0409543535631,310217.736638,2768165.72342,-0.0409543535548
310217.734822,2768165.72355,-0.0409543535631,310217.736375,2768165.72343,-0.0409543535558
310217.734822,2768165.72355,-0.0409543535631,310217.736201,2768165.72345,-0.0409543535572
310217.734822,2768165.72355,-0.0409543535631,310217.736654,2768165.72344,-0.040954353557
310217.734822,2768165.72355,-0.0409543535631,310217.73641,2768165.72345,-0.0409543535579
310217.734822,2768165.72355,-0.0409543535631,310217.736175,2768165.72347,-0.040954353559
310217.734822,2768165.72355,-0.0409543535631,310217.736605,2768165.72345,-0.0409543535591
310217.734822,2768165.72355,-0.0409543535631,310217.736356,2768165.72347,-0.0409543535598
310217.734822,2768165.72355,-0.0409543535631,310217.736181,2768165.72348,-0.0409543535605
310217.714943,2768165.74598,-0.0409543535631,310217.733081,2768165.72692,-0.0409543530995
310217.714943,2768165.74598,-0.0409543535631,310217.730358,2768165.72984,-0.0409543529628
310217.714943,2768165.74598,-0.0409543535631,310217.728003,2768165.73232,-0.0409543530125
310217.714943,2768165.74598,-0.0409543535631,310217.726007,2768165.73441,-0.0409543531163
310217.714943,2768165.74598,-0.0409543535631,310217.724321,2768165.73619,-0.0409543532192
310217.714943,2768165.74598,-0.0409543535631,310217.722895,2768165.73769,-0.040954353304
310217.714943,2768165.74598,-0.0409543535631,310217.7222,2768165.73894,-0.0409543531197
310217.714943,2768165.74598,-0.0409543535631,310217.721131,2768165.74002,-0.0409543531174
310217.714943,2768165.74598,-0.0409543535631,310217.720196,2768165.74093,-0.0409543531872
310217.714943,2768165.74598,-0.0409543535631,310217.720395,2768165.74166,-0.0409543529763
310217.714943,2768165.74598,-0.0409543535631,310217.719582,2768165.74232,-0.040954353002
310217.714943,2768165.74598,-0.0409543535631,310217.718938,2768165.74288,-0.0409543530915
